group,language,metric,row_count,records,rows_per_100k
TRAIN · KO_TO_EN,EN,cross_script,151,1200144,12.581823514511592
TRAIN · KO_TO_EN,EN,expected_script_absent,3,1200144,0.24997000359956806
TRAIN · KO_TO_EN,EN,html_like,445,1200144,37.07888386726926
TRAIN · KO_TO_EN,EN,repeated_space,25,1200144,2.0830833633297337
TRAIN · KO_TO_EN,EN,zero_width,6688,1200144,557.2664613579705
TRAIN · KO_TO_EN,KO,cross_script,328005,1200144,27330.470343558773
TRAIN · KO_TO_EN,KO,expected_script_absent,29,1200144,2.4163767014624913
TRAIN · KO_TO_EN,KO,html_like,67,1200144,5.582663413723687
TRAIN · KO_TO_EN,KO,repeated_space,24,1200144,1.9997600287965445
TRAIN · KO_TO_EN,KO,zero_width,4,1200144,0.3332933381327574
VALID · KO_TO_EN,EN,cross_script,24,150018,15.998080230372356
VALID · KO_TO_EN,EN,expected_script_absent,1,150018,0.6665866762655148
VALID · KO_TO_EN,EN,html_like,51,150018,33.995920489541255
VALID · KO_TO_EN,EN,repeated_space,1,150018,0.6665866762655148
VALID · KO_TO_EN,EN,zero_width,840,150018,559.9328080630324
VALID · KO_TO_EN,KO,cross_script,40813,150018,27205.40201842446
VALID · KO_TO_EN,KO,expected_script_absent,5,150018,3.332933381327574
VALID · KO_TO_EN,KO,html_like,4,150018,2.6663467050620593
VALID · KO_TO_EN,KO,repeated_space,2,150018,1.3331733525310296
VALID · KO_TO_EN,KO,zero_width,1,150018,0.6665866762655148
