group,language,metric,row_count,records,rows_per_100k
구어체,EN,html_like,25,400000,6.25
구어체,EN,zero_width,27,400000,6.75
구어체,KO,cross_script,18870,400000,4717.5
구어체,KO,expected_script_absent,3,400000,0.75
구어체,KO,html_like,3,400000,0.75
구어체,KO,zero_width,11,400000,2.75
뉴스,EN,control_char,1,801387,0.12478365633582778
뉴스,EN,html_like,410,801387,51.16129909768938
뉴스,EN,leading_or_trailing_ws,5,801387,0.6239182816791388
뉴스,EN,zero_width,159,801387,19.84060135739661
뉴스,KO,cross_script,103313,801387,12891.773887023372
뉴스,KO,expected_script_absent,1,801387,0.12478365633582778
뉴스,KO,html_like,6,801387,0.7487019380149665
뉴스,KO,zero_width,7,801387,0.8734855943507943
대화체,EN,zero_width,2,100000,2.0
대화체,KO,cross_script,1317,100000,1317.0
조례,EN,html_like,1,100298,0.9970288540150352
조례,EN,leading_or_trailing_ws,19,100298,18.943548226285667
조례,KO,cross_script,576,100298,574.2886199126602
조례,KO,html_like,1,100298,0.9970288540150352
지자체웹,EN,html_like,38,100087,37.96696873719864
지자체웹,EN,zero_width,2,100087,1.998261512484139
지자체웹,KO,cross_script,9771,100087,9762.50661924126
지자체웹,KO,html_like,6,100087,5.994784537452416
한국문화,EN,cross_script,23,100646,22.852373666116883
한국문화,EN,html_like,114,100646,113.2682868668402
한국문화,EN,leading_or_trailing_ws,5,100646,4.967907318721062
한국문화,EN,zero_width,2,100646,1.9871629274884248
한국문화,KO,cross_script,14779,100646,14684.140452675714
한국문화,KO,expected_script_absent,1,100646,0.9935814637442124
한국문화,KO,html_like,122,100646,121.21693857679392
한국문화,KO,zero_width,3,100646,2.9807443912326375
